data,ticker,peso,dinheiro_por_acao,preco_compra,quantidade_acoes,preco_fechamento_ajustado
2011-12-07,ETER3,0.5,5070.920914510132,15.73,311.864754889922,16.26
2011-12-08,AUTM3,0.5,5227.52449693937,11.43,429.18920336119623,12.18
2011-12-08,ETER3,0.5,5011.6666110810465,15.73,311.864754889922,16.07
2011-12-09,AUTM3,0.5,5300.486661510773,11.43,429.18920336119623,12.35
2011-12-09,ETER3,0.5,5070.920914510132,15.73,311.864754889922,16.26
2011-12-12,AUTM3,0.5,5304.778553544385,11.43,429.18920336119623,12.36
2011-12-12,ETER3,0.5,5042.853086570039,15.73,311.864754889922,16.17
2011-12-13,AUTM3,0.5,5150.270440334355,11.43,429.18920336119623,12.0
2011-12-13,ETER3,0.5,4971.124192945356,15.73,311.864754889922,15.94
2011-12-14,AUTM3,0.5,5210.356928804923,11.43,429.18920336119623,12.14
2011-12-14,ETER3,0.5,5070.920914510132,15.73,311.864754889922,16.26
2011-12-15,AUTM3,0.5,5326.2380137124455,11.43,429.18920336119623,12.41
2011-12-15,ETER3,0.5,5098.988742450225,15.73,311.864754889922,16.35
2011-12-16,AUTM3,0.5,5420.659638451909,11.43,429.18920336119623,12.63
2011-12-16,ETER3,0.5,5061.564971863434,15.73,311.864754889922,16.23
2011-12-19,AUTM3,0.5,5416.3677464182965,11.43,429.18920336119623,12.62
2011-12-19,ETER3,0.5,4983.598783140954,15.73,311.864754889922,15.98
2011-12-20,AUTM3,0.5,5420.659638451909,11.43,429.18920336119623,12.63
2011-12-20,ETER3,0.5,5014.785258629945,15.73,311.864754889922,16.08
2011-12-21,AUTM3,0.5,5382.0326101494,11.43,429.18920336119623,12.54
2011-12-21,ETER3,0.5,5011.6666110810465,15.73,311.864754889922,16.07
2011-12-22,AUTM3,0.5,5261.859633208266,11.43,429.18920336119623,12.26
2011-12-22,ETER3,0.5,5098.988742450225,15.73,311.864754889922,16.35
2011-12-23,AUTM3,0.5,5437.827206586357,11.43,429.18920336119623,12.67
2011-12-23,ETER3,0.5,5061.564971863434,15.73,311.864754889922,16.23
2011-12-26,AUTM3,0.5,5390.616394216625,11.43,429.18920336119623,12.56
2011-12-26,ETER3,0.5,5070.920914510132,15.73,311.864754889922,16.26
2011-12-27,CLSC6,0.5,5207.769946347489,36.39,143.74192509929588,36.23
2011-12-27,FHER3,0.5,5184.272932991258,11.25,464.9572137211891,11.15
2011-12-28,CLSC6,0.5,5220.706719606426,36.39,143.74192509929588,36.32
2011-12-28,FHER3,0.5,5216.819937951742,11.25,464.9572137211891,11.22
2011-12-29,CLSC6,0.5,5207.769946347489,36.39,143.74192509929588,36.23
