,data,preco_abertura,preco_fechamento,preco_maximo,preco_medio,preco_minimo,quantidade_negociada,quantidade_negocios,ticker,volume_negociado,fator_ajuste,preco_fechamento_ajustado,fator_ajuste_desdobramentos,preco_fechamento_ajustado_desdobramentos,preco_abertura_ajustado,preco_maximo_ajustado,preco_medio_ajustado,preco_minimo_ajustado,volume,ValorDeMercado,EBIT_EV,momento_6_meses,ebit_dl,volume_medio_prop_20_200,RANK_FINAL_carteira1,ValorDeMercado_RANK_carteira1,EBIT_EV_RANK_carteira1,momento_6_meses_RANK_carteira1,ebit_dl_RANK_carteira1,volume_medio_prop_20_200_RANK_carteira1,posicao_carteira1
1163164,2025-08-08,4.99,5.04,5.07,5.0,4.95,9913100,14176,BEEF3,49657177.0,1.0,5.04,1.0,5.04,4.99,5.07,5.0,4.95,55639258.0,5010418239.0,0.16350539589081184,0.0769230769230771,0.22134063777365176,0.9921139010110075,386.0,87.0,36.0,99.0,118.0,46.0,66.0
1163098,2025-08-08,2.83,2.73,2.85,2.73,2.66,7079300,4092,BHIA3,19363737.0,1.0,2.73,1.0,2.73,2.83,2.85,2.73,2.66,10037232.0,259587510.0,0.09239069434517164,-0.17272727272727273,0.09519906323185012,0.5642068352260539,576.0,6.0,114.0,147.0,154.0,155.0,149.0
1163105,2025-08-08,12.37,12.4,12.68,12.5,12.3,267900,1732,BLAU3,3350854.0,1.0,12.4,1.0,12.4,12.37,12.68,12.5,12.3,3082594.0,2224484844.0,0.17369330391847812,-0.01352426412092278,2.049889043736677,0.853396237848032,330.0,58.0,26.0,120.0,42.0,84.0,37.0
1163229,2025-08-08,19.85,20.4,20.65,20.39,19.85,320300,1422,BMOB3,6532840.0,1.0,20.4,1.0,20.4,19.85,20.65,20.39,19.85,6532840.0,1746411197.0,0.10091501283858234,0.5644171779141105,999.0,1.2965669282833348,191.5,47.0,104.0,14.0,15.5,11.0,6.0
1163365,2025-08-08,15.77,16.01,16.23,16.06,15.75,3966000,6470,BRAP4,63710697.0,1.0,16.01,1.0,16.01,15.77,16.23,16.06,15.75,54529363.0,6126515070.0,0.20433551696106889,0.02104591836734704,999.0,0.7494715114069571,343.5,96.0,11.0,109.0,15.5,112.0,46.0
1163259,2025-08-08,19.96,20.05,20.31,19.97,19.7,8982000,17290,BRAV3,179453494.0,1.0,20.05,1.0,20.05,19.96,20.31,19.97,19.7,129990036.0,9306958613.0,0.13802247108905297,-0.07561088059013377,0.2425544993784566,0.8511403306346756,502.0,113.0,58.0,133.0,112.0,86.0,122.0
1163232,2025-08-08,16.2,16.02,16.31,16.0,15.85,195200,1350,BRBI11,3123650.0,1.0,16.02,1.0,16.02,16.2,16.31,16.0,15.85,3430870.0,1682031178.0,0.046043422331599165,0.20814479638009042,999.0,0.8091714443679094,369.5,46.0,151.0,62.0,15.5,95.0,54.0
1163255,2025-08-08,19.59,19.45,20.15,19.59,19.33,4896200,9604,BRFS3,95959891.0,1.0,19.45,1.0,19.45,19.59,20.15,19.59,19.33,85975381.0,32724104635.0,0.16520593001475165,-0.06445406445406443,0.7879626830873124,0.5080516326101696,533.0,149.0,34.0,132.0,59.0,159.0,139.0
1163260,2025-08-08,8.4,8.76,9.17,8.86,8.38,12046200,12098,BRKM5,106845703.0,1.0,8.76,1.0,8.76,8.4,9.17,8.86,8.38,30813945.0,7209374715.0,-0.02953463985203634,-0.3568281938325991,-999.0,0.8769376857641997,666.0,103.0,161.0,165.0,165.0,72.0,164.0
1163347,2025-08-08,4.58,4.59,4.67,4.61,4.55,1062100,2411,CAML3,4896371.0,1.0,4.59,1.0,4.59,4.58,4.67,4.61,4.55,5678861.0,1606500000.0,0.11251595041906515,0.015486725663716783,0.159074166800605,1.1212209541895766,406.0,42.0,91.0,111.0,143.0,19.0,74.0
1163267,2025-08-08,6.2,5.45,6.2,5.64,5.36,5181500,6360,CASH3,29248045.0,1.0,5.45,1.0,5.45,6.2,6.2,5.64,5.36,21502343.0,614192595.0,-0.0463722650455863,0.5266106442577032,-999.0,1.5400089507941286,366.0,15.0,165.0,16.0,165.0,5.0,53.0
1163235,2025-08-08,3.71,3.5,3.73,3.61,3.5,11350100,15217,CBAV3,41028093.0,1.0,3.5,1.0,3.5,3.71,3.73,3.61,3.5,13089001.0,2278755500.0,0.13178400250422453,-0.33460076045627374,0.2240178728287056,0.974184669044258,458.0,61.0,69.0,163.0,115.0,50.0,101.5
1163322,2025-08-08,17.15,16.49,17.4,16.72,16.36,4571200,17130,CEAB3,76472836.0,1.0,16.49,1.0,16.49,17.15,17.4,16.72,16.36,44337797.0,5082961171.0,0.152194153406681,0.7267015706806279,999.0,1.118522014771081,175.5,88.0,44.0,8.0,15.5,20.0,4.0
1163303,2025-08-08,10.6,10.67,10.72,10.65,10.57,10421600,12359,CMIG4,111052401.0,1.0,10.67,1.0,10.67,10.6,10.72,10.65,10.57,104576879.0,34524244280.0,0.21432033491568825,0.038948393378773094,0.9161954613657185,0.7617089610861225,429.0,151.0,10.0,107.0,53.0,108.0,88.0
1163163,2025-08-08,4.92,4.97,5.03,4.97,4.92,5178700,7353,CMIN3,25786504.0,1.0,4.97,1.0,4.97,4.92,5.03,4.97,4.92,23661543.0,27262134010.0,0.20155119340034303,-0.017786561264822143,999.0,0.5975658590361278,440.5,143.0,13.0,121.0,15.5,148.0,93.0
1163325,2025-08-08,2.97,3.07,3.17,3.08,2.95,58574700,23707,COGN3,180441929.0,1.0,3.07,1.0,3.07,2.97,3.17,3.08,2.95,73223874.0,5761181065.0,0.12692267693504033,1.2910447761194028,0.26104095550933065,1.0469094265671903,313.0,94.0,77.0,2.0,106.0,34.0,34.0
1163231,2025-08-08,39.28,39.94,40.62,39.97,39.28,4059200,11528,CPFE3,162285607.0,1.0,39.94,1.0,39.94,39.28,40.62,39.97,39.28,48142444.0,46021042334.0,0.15150407489975784,0.23921811976419494,0.43887510110715555,0.8762861626910659,414.0,158.0,45.0,58.0,80.0,73.0,80.0
1163352,2025-08-08,12.4,12.31,12.54,12.36,12.28,12045500,18411,CPLE6,148909777.0,1.0,12.31,1.0,12.31,12.4,12.54,12.36,12.28,133109194.0,35652113589.0,0.0889916502961592,0.30264550264550283,0.275819730364944,0.8422997827990016,506.0,154.0,119.0,42.0,103.0,88.0,127.5
1163093,2025-08-08,5.15,5.05,5.15,5.07,5.01,231600,602,CSED3,1175172.0,1.0,5.05,1.0,5.05,5.15,5.15,5.07,5.01,1425232.0,1840939888.0,0.22429527141658703,0.5349544072948327,1.034211873532579,0.626454830123385,266.0,51.0,8.0,15.0,49.0,143.0,18.0
1163134,2025-08-08,25.29,25.2,25.41,25.21,25.05,3006500,5575,CSMG3,75795854.0,1.0,25.2,1.0,25.2,25.29,25.41,25.21,25.05,65753458.0,9582375600.0,0.12972650025724078,0.14858705560619856,0.34453787030736066,1.479920604345593,372.0,116.0,73.0,83.0,94.0,6.0,57.0
1163326,2025-08-08,7.29,7.41,7.47,7.38,7.27,6219000,8344,CSNA3,45899664.0,1.0,7.41,1.0,7.41,7.29,7.47,7.38,7.27,68358075.0,9826356147.0,0.10900381143974841,-0.1784922394678492,0.1420521287080614,0.6836387047092687,644.0,119.0,97.0,149.0,147.0,132.0,160.5
1163296,2025-08-08,16.91,17.25,17.25,17.16,16.91,42700,99,CSUD3,732903.0,1.0,17.25,1.0,17.25,16.91,17.25,17.16,16.91,521244.0,721050000.0,0.18240969389865858,0.11362169141381528,999.0,0.7624511933744094,253.5,19.0,19.0,93.0,15.5,107.0,15.0
